Index,target,LCB,UCB,TP,sparsity size,F1,Method
0.0,3.464744144098865,3.940226583813269,28.132605863419833,True,5.0,0.33333333333333337,MLE
0.0,3.398000919431136,-3.270463815406776,20.378539668503862,True,5.0,0.33333333333333337,MLE
0.0,2.2885467970434528,-6.857028422930047,16.920477712275478,True,5.0,0.33333333333333337,MLE
0.0,-6.890336841733953,-15.326709580572844,4.75837432324513,True,5.0,0.33333333333333337,MLE
0.0,3.602199856643555,-11.331620225960389,11.609456713169926,True,5.0,0.28571428571428575,Data splitting
0.0,3.4540887631308093,0.6831697576580016,24.454834153930726,True,5.0,0.28571428571428575,Data splitting
0.0,2.1637822299873197,1.8861587836537677,25.545029018462692,True,5.0,0.28571428571428575,Data splitting
0.0,-6.85343102860442,-30.425829834254383,-4.007119215786304,True,5.0,0.28571428571428575,Data splitting
0.0,0.6305480054246618,-5.071675471346227,22.35246364114323,False,5.0,0.28571428571428575,Data splitting
0.0,-1.3360542770743857,-31.305919551461656,-2.583772940273997,False,5.0,0.28571428571428575,Data splitting
0.0,0.3301259611518364,-34.76432678107231,-3.110915602390378,False,5.0,0.28571428571428575,Data splitting
0.0,-0.44323480705651014,-15.921490784568585,13.450055118999858,False,5.0,0.28571428571428575,Data splitting
0.0,3.464744144098865,0.8008262235397501,14.879655029416075,True,5.0,0.33333333333333337,Naive
0.0,3.398000919431136,0.09626294120401013,14.157438036304907,True,5.0,0.33333333333333337,Naive
0.0,2.2885467970434528,-1.2467904310891793,12.849669976944554,True,5.0,0.33333333333333337,Naive
0.0,-6.890336841733953,-19.41440364850669,-5.125431452220839,True,5.0,0.33333333333333337,Naive
1.0,-3.577055569516965,-20.23626623418711,5.0265487643377895,False,5.0,0.0,MLE
1.0,-5.110725346803146,-6.8307988208184005,15.765703293551748,False,5.0,0.0,MLE
1.0,-4.576623003341556,-9.803670413890934,15.50378774704539,False,5.0,0.0,MLE
1.0,-3.927506435738654,-22.52027165441886,3.7601351851780684,False,5.0,0.0,MLE
1.0,0.14380786768142817,-11.946628127487653,19.236500371655403,False,5.0,0.0,MLE
1.0,0.7583243635715111,-7.267804042379083,26.506891178789665,False,5.0,0.0,MLE
1.0,-0.538058277352305,-33.79794420034469,0.3491050435275014,False,5.0,0.0,MLE
1.0,-0.7734113969872783,-12.19929837887414,19.798148638626127,False,5.0,0.0,MLE
1.0,2.277743683293389,-1.3269546708049962,21.750366397192643,True,5.0,0.33333333333333337,Data splitting
1.0,-8.437709966588725,-18.514801455235155,6.479866308223747,True,5.0,0.33333333333333337,Data splitting
1.0,-10.072833059465284,-18.892183193870345,5.702561607821354,True,5.0,0.33333333333333337,Data splitting
1.0,-0.2684518490993338,-17.192102746466887,7.2383798196333835,True,5.0,0.33333333333333337,Data splitting
1.0,2.277743683293389,-0.08483248493103446,15.354602631286355,True,5.0,0.33333333333333337,Naive
1.0,-8.437709966588725,-15.26361801571976,0.004156526871260446,True,5.0,0.33333333333333337,Naive
1.0,-10.072833059465284,-19.78870541124435,-4.597847098676834,True,5.0,0.33333333333333337,Naive
1.0,-0.2684518490993338,-11.991576162206762,3.390851614308942,True,5.0,0.33333333333333337,Naive
2.0,-2.433295266438698,-7.687660605479147,20.505917272888958,False,5.0,0.4444444444444445,MLE
2.0,-1.249503729380985,5.552209520822709,35.436433441052785,False,5.0,0.4444444444444445,MLE
2.0,-0.18153874504234618,-1.5185806485545008,29.079907356820105,False,5.0,0.4444444444444445,MLE
2.0,-1.760093019552168,-8.60816330181164,22.91774678198191,False,5.0,0.4444444444444445,MLE
