,Lower,Upper,MLE,P value
Intercept,-186.4780334470448,-158.5708001186305,-172.52441678283765,6.028193037903931e-92
INDFMPIR,-39.24057037146549,-25.65256488639043,-32.44656762892796,3.98383538649354e-15
BMXBMI,8.480005014750226,18.883989946364583,13.681997480557406,1.5170059872504638e-05
DBD910,10.416984893285235,19.126726773190413,14.771855833237826,2.4135802245695004e-08
DMDMARTZ_married_living_with,-36.29997787887635,-5.540977112713424,-20.920477495794884,0.02525583931142696
DMDMARTZ_sep,-8.232787641330955,24.528486776967814,8.147849567818433,0.413264515498752
RIAGENDR_man,-62.6155364012229,-36.759656700382095,-49.687596550802496,2.584079083524604e-10
ALQ151_dummy,56.67930740801138,85.44633030403278,71.06281885602209,4.440892098500626e-16
