,Lower,Upper,MLE,P value
Intercept,-303.45544750816964,-182.99005696860746,-243.22275223838855,3.094457535914214e-11
INDFMPIR,-68.70454124916196,-20.527001350479033,-44.615771299820494,0.0023152325955561703
BMXBMI,14.816352837528477,47.64777677879983,31.232064808164157,0.0017513295823818886
DBD910,-8.037144691231934,28.469826004411882,10.216340656589978,0.35725282509958634
DMDMARTZ_married_living_with,-12.664898259263929,109.64172221454413,48.48841197764011,0.19216432358433178
DMDMARTZ_sep,-0.2788817553377001,127.12838922100897,63.424753732835654,0.10149414465261342
RIAGENDR_man,-101.91131879300444,-13.443596194267094,-57.67745749363576,0.031972115412984996
ALQ151_dummy,37.75935515100865,134.0463829465867,85.90286904879768,0.003336273528158129
