,Lower,Upper,MLE,P value
Intercept,-66.15445824415025,-37.94978652394232,-52.052122384046285,1.2695678640954667e-09
INDFMPIR,-12.270110256722395,0.54927403776811,-5.860418109477141,0.13260735959703043
BMXBMI,1.1162495629628832,11.712760449614226,6.414505006288556,0.04643742821071162
DBD910,0.7422403458818314,9.029502899459018,4.885871622670425,0.05244134184178506
DMDMARTZ_married_living_with,-24.39182523832021,7.653353256386275,-8.369235990966963,0.39024534905828356
DMDMARTZ_sep,-7.180608332967854,25.355582009360862,9.087486838196508,0.3581854050585602
RIAGENDR_man,-24.294758106530992,0.3419392253205036,-11.976409440605241,0.10977730060955462
