,Lower,Upper,MLE,P value
Intercept,-97.6157325412901,-40.2117853469306,-68.91375894411034,7.837616694796211e-05
INDFMPIR,-6.568544563104854,18.836598817965143,6.134027127430147,0.4270242828953634
BMXBMI,0.5212001689354011,19.817201761572772,10.169200965254088,0.08296933731460743
DBD895,-30.68776379837809,3.11947187317384,-13.784145962602121,0.1798215361879998
DBD910,0.12274682259536007,16.901020912871235,8.5118838677333,0.09513313014368197
DMDMARTZ_married_living_with,-26.85067140664841,34.943611751061034,4.046470172206317,0.8294401583482283
DMDMARTZ_sep,-9.375829677566745,53.03148259330126,21.827826457867268,0.24988822284087542
RIAGENDR_man,-27.8872557954903,16.18894929250051,-5.849153251494889,0.6624289334427322
